S121C	2025-05-22 16:53:05
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
1.082043E-06	278682
1.082860E-06	278982
1.081869E-06	279282
1.081710E-06	279582
1.126329E-06	279882
1.135194E-06	280182
1.135513E-06	280482
1.136301E-06	280782
1.135097E-06	281082
1.136611E-06	281382
1.135531E-06	281682
1.135389E-06	281982
1.136787E-06	282283
1.134820E-06	282583
1.134319E-06	282883
1.134765E-06	283183
1.134659E-06	283483
1.134698E-06	283783
1.134930E-06	284083
1.135375E-06	284383
1.134916E-06	284683
1.135461E-06	284983
1.134185E-06	285283
1.135862E-06	285583
1.134771E-06	285883
1.135268E-06	286183
1.135495E-06	286483
1.134922E-06	286783
1.134738E-06	287083
1.133733E-06	287383
1.135284E-06	287683
1.135400E-06	287983
1.135599E-06	288283
1.134939E-06	288583
1.134855E-06	288883
1.135506E-06	289183
1.135478E-06	289483
1.158521E-06	289785
1.185636E-06	290085
1.185423E-06	290385
1.185577E-06	290685
1.185368E-06	290985
1.185710E-06	291285
1.186343E-06	291585
1.187421E-06	291885
1.187037E-06	292185
1.186307E-06	292485
1.186550E-06	292785
1.186791E-06	293085
1.186135E-06	293385
1.185742E-06	293685
1.187204E-06	293985
1.187862E-06	294285
1.187204E-06	294585
1.188174E-06	294885
1.188160E-06	295185
1.187446E-06	295485
1.188079E-06	295785
1.188886E-06	296085
1.188141E-06	296385
1.187251E-06	296685
1.184316E-06	296992
1.185148E-06	297292
1.184632E-06	297592
1.184707E-06	297892
1.185872E-06	298192
1.185426E-06	298492
1.185539E-06	298792
1.186480E-06	299092
1.185941E-06	299392
1.194789E-06	299698
1.238381E-06	299999
1.238400E-06	300299
1.237578E-06	300599
1.237248E-06	300899
1.237194E-06	301199
1.236626E-06	301499
1.236316E-06	301799
1.236415E-06	302099
1.236063E-06	302399
1.235282E-06	302699
1.235516E-06	302999
1.236276E-06	303299
1.236006E-06	303599
1.235638E-06	303899
1.235760E-06	304199
1.237457E-06	304501
1.236377E-06	304801
1.236235E-06	305101
1.235388E-06	305401
1.235151E-06	305701
1.234955E-06	306001
1.235509E-06	306301
1.235448E-06	306601
1.235477E-06	306901
1.235431E-06	307201
1.235712E-06	307501
1.235741E-06	307801
1.235814E-06	308101
1.236298E-06	308401
1.237046E-06	308701
1.237148E-06	309001
1.237431E-06	309301
1.238108E-06	309601
1.284125E-06	309901
1.290527E-06	310201
1.290784E-06	310501
1.292202E-06	310801
1.291386E-06	311101
1.291354E-06	311401
1.288703E-06	311702
1.292766E-06	312002
1.293010E-06	312302
1.293089E-06	312602
1.293640E-06	312902
1.293296E-06	313202
1.293656E-06	313502
1.293005E-06	313802
1.292302E-06	314102
1.291198E-06	314402
1.291280E-06	314702
1.292412E-06	315002
1.291801E-06	315302
1.291117E-06	315602
1.291224E-06	315902
1.291532E-06	316202
1.291401E-06	316502
1.291344E-06	316802
1.292338E-06	317102
1.292349E-06	317402
1.291635E-06	317702
1.289893E-06	318002
1.289566E-06	318302
1.289858E-06	318602
1.288627E-06	318903
1.291835E-06	319203
1.291907E-06	319503
1.318228E-06	319803
1.341250E-06	320103
1.341368E-06	320403
1.341507E-06	320703
1.342247E-06	321003
1.342529E-06	321303
1.342705E-06	321603
1.342739E-06	321903
1.342528E-06	322203
1.344222E-06	322503
1.344785E-06	322803
1.344622E-06	323103
1.345110E-06	323403
1.344794E-06	323703
1.345136E-06	324003
1.344387E-06	324303
1.344199E-06	324603
1.343733E-06	324903
1.343169E-06	325203
1.342663E-06	325503
1.342933E-06	325803
1.342644E-06	326103
1.342749E-06	326405
1.343472E-06	326705
1.342409E-06	327005
1.341210E-06	327305
1.341632E-06	327605
1.341753E-06	327905
1.341219E-06	328205
1.341749E-06	328505
1.342814E-06	328805
1.341843E-06	329111
1.344822E-06	329411
1.356456E-06	329711
1.394167E-06	330011
1.394076E-06	330311
1.394678E-06	330611
1.394008E-06	330911
1.393196E-06	331211
1.393012E-06	331511
1.392951E-06	331811
1.392232E-06	332111
1.392317E-06	332411
1.392565E-06	332711
1.392920E-06	333011
1.395769E-06	333311
1.394356E-06	333612
1.392048E-06	333912
1.390905E-06	334212
1.391360E-06	334512
1.391418E-06	334812
1.391577E-06	335112
1.391091E-06	335412
1.391837E-06	335712
1.392067E-06	336012
1.392136E-06	336312
1.392559E-06	336612
1.392708E-06	336912
1.392963E-06	337212
1.393635E-06	337512
1.393772E-06	337812
1.394178E-06	338112
1.393874E-06	338412
1.393882E-06	338712
1.393397E-06	339012
1.394217E-06	339312
1.395318E-06	339612
1.440722E-06	339912
1.448751E-06	340212
1.449325E-06	340512
1.449001E-06	340812
1.450248E-06	341113
1.449140E-06	341413
1.448315E-06	341713
1.447791E-06	342013
1.448549E-06	342313
1.447989E-06	342613
1.448623E-06	342913
1.447994E-06	343213
1.447752E-06	343513
1.447816E-06	343813
1.447712E-06	344113
1.448368E-06	344413
1.448713E-06	344713
1.447827E-06	345013
1.446792E-06	345313
1.446626E-06	345613
1.446746E-06	345913
